ids,breed
00117,Afghan_hound
00118,Afghan_hound
00119,Afghan_hound
00121,Afghan_hound
00122,Afghan_hound
00123,Afghan_hound
00124,Afghan_hound
00126,Afghan_hound
00127,Afghan_hound
00128,Afghan_hound
00130,Afghan_hound
00131,Afghan_hound
00133,Afghan_hound
00134,Afghan_hound
00135,Afghan_hound
00136,Afghan_hound
00137,Afghan_hound
00138,Afghan_hound
00140,Afghan_hound
00142,Afghan_hound
00144,Afghan_hound
00145,Afghan_hound
00147,Afghan_hound
00148,Afghan_hound
00150,Afghan_hound
00152,Afghan_hound
00153,Afghan_hound
00154,Airedale_terrier
00156,Airedale_terrier
00157,Airedale_terrier
00158,Airedale_terrier
00159,Airedale_terrier
00161,Airedale_terrier
00162,Airedale_terrier
00163,Airedale_terrier
00164,Airedale_terrier
00165,Airedale_terrier
00167,Airedale_terrier
00168,Airedale_terrier
00169,Airedale_terrier
00170,Airedale_terrier
00171,Airedale_terrier
00172,Airedale_terrier
00173,Airedale_terrier
00174,Airedale_terrier
00176,Airedale_terrier
00177,Airedale_terrier
00180,Airedale_terrier
00181,Airedale_terrier
00184,Airedale_terrier
00185,Airedale_terrier
00186,Airedale_terrier
00187,Airedale_terrier
00188,Airedale_terrier
00189,Airedale_terrier
00190,Airedale_terrier
00191,Airedale_terrier
00192,Airedale_terrier
00193,Airedale_terrier
00194,Airedale_terrier
00195,Airedale_terrier
00196,Airedale_terrier
00197,Airedale_terrier
00198,Airedale_terrier
00199,Airedale_terrier
00200,Airedale_terrier
00201,Airedale_terrier
00202,Airedale_terrier
00203,Airedale_terrier
00204,Airedale_terrier
00205,Airedale_terrier
00209,Airedale_terrier
00211,Airedale_terrier
00212,Airedale_terrier
00213,Airedale_terrier
00215,Airedale_terrier
00216,Airedale_terrier
00217,Airedale_terrier
00218,Airedale_terrier
00220,Akita
00221,Akita
00222,Akita
00223,Akita
00224,Akita
00225,Akita
00226,Akita
00228,Akita
00229,Akita
00230,Akita
00231,Akita
00232,Akita
00233,Akita
00234,Akita
00236,Akita
00238,Akita
00239,Akita
00240,Akita
00241,Akita
00242,Akita
00243,Akita
00245,Akita
00246,Akita
00248,Akita
00249,Akita
00250,Akita
00251,Akita
00253,Akita
00254,Akita
00255,Akita
00256,Akita
00257,Akita
00259,Akita
00260,Akita
00261,Akita
00264,Akita
00266,Akita
00267,Akita
00268,Akita
00269,Akita
00271,Akita
00272,Akita
00273,Akita
00274,Akita
00275,Akita
00277,Akita
00279,Akita
00280,Akita
00281,Akita
00283,Akita
00284,Akita
00285,Akita
00286,Akita
00287,Akita
00288,Akita
00289,Akita
00290,Akita
00291,Akita
00292,Akita
00293,Akita
00294,Akita
00295,Akita
00297,Akita
00299,Alaskan_malamute
00300,Alaskan_malamute
00301,Alaskan_malamute
00302,Alaskan_malamute
00303,Alaskan_malamute
00304,Alaskan_malamute
00305,Alaskan_malamute
00306,Alaskan_malamute
00307,Alaskan_malamute
00308,Alaskan_malamute
00310,Alaskan_malamute
00311,Alaskan_malamute
00312,Alaskan_malamute
00313,Alaskan_malamute
00314,Alaskan_malamute
00315,Alaskan_malamute
00316,Alaskan_malamute
00317,Alaskan_malamute
00319,Alaskan_malamute
00320,Alaskan_malamute
00321,Alaskan_malamute
00322,Alaskan_malamute
00325,Alaskan_malamute
00326,Alaskan_malamute
00327,Alaskan_malamute
00328,Alaskan_malamute
00329,Alaskan_malamute
00331,Alaskan_malamute
00332,Alaskan_malamute
00333,Alaskan_malamute
00334,Alaskan_malamute
00335,Alaskan_malamute
00337,Alaskan_malamute
00338,Alaskan_malamute
00339,Alaskan_malamute
00340,Alaskan_malamute
00341,Alaskan_malamute
00342,Alaskan_malamute
00343,Alaskan_malamute
00345,Alaskan_malamute
00347,Alaskan_malamute
00348,Alaskan_malamute
00349,Alaskan_malamute
00350,Alaskan_malamute
00351,Alaskan_malamute
00352,Alaskan_malamute
00353,Alaskan_malamute
00355,Alaskan_malamute
00356,Alaskan_malamute
00357,Alaskan_malamute
00358,Alaskan_malamute
00359,Alaskan_malamute
00361,Alaskan_malamute
00363,Alaskan_malamute
00364,Alaskan_malamute
00365,Alaskan_malamute
00366,Alaskan_malamute
00367,Alaskan_malamute
00368,Alaskan_malamute
00370,Alaskan_malamute
00372,Alaskan_malamute
00373,Alaskan_malamute
00374,Alaskan_malamute
00376,Alaskan_malamute
00377,Alaskan_malamute
00378,Alaskan_malamute
00379,Alaskan_malamute
00380,Alaskan_malamute
00381,Alaskan_malamute
00382,Alaskan_malamute
00384,Alaskan_malamute
00385,Alaskan_malamute
00388,Alaskan_malamute
00389,Alaskan_malamute
00391,Alaskan_malamute
00392,Alaskan_malamute
00393,Alaskan_malamute
00394,American_eskimo_dog
00395,American_eskimo_dog
00396,American_eskimo_dog
00397,American_eskimo_dog
00398,American_eskimo_dog
00399,American_eskimo_dog
00400,American_eskimo_dog
00401,American_eskimo_dog
00402,American_eskimo_dog
00403,American_eskimo_dog
00404,American_eskimo_dog
00405,American_eskimo_dog
00408,American_eskimo_dog
00409,American_eskimo_dog
00411,American_eskimo_dog
00412,American_eskimo_dog
00413,American_eskimo_dog
00414,American_eskimo_dog
00416,American_eskimo_dog
00417,American_eskimo_dog
00419,American_eskimo_dog
00420,American_eskimo_dog
00421,American_eskimo_dog
00422,American_eskimo_dog
00423,American_eskimo_dog
00424,American_eskimo_dog
00425,American_eskimo_dog
00426,American_eskimo_dog
00427,American_eskimo_dog
00428,American_eskimo_dog
00430,American_eskimo_dog
00431,American_eskimo_dog
00432,American_eskimo_dog
00433,American_eskimo_dog
00435,American_eskimo_dog
00436,American_eskimo_dog
00437,American_eskimo_dog
00438,American_eskimo_dog
00439,American_eskimo_dog
00440,American_eskimo_dog
00441,American_eskimo_dog
00442,American_eskimo_dog
00443,American_eskimo_dog
00444,American_eskimo_dog
00445,American_eskimo_dog
00447,American_eskimo_dog
00448,American_eskimo_dog
00450,American_eskimo_dog
00453,American_eskimo_dog
00455,American_eskimo_dog
00456,American_eskimo_dog
00457,American_eskimo_dog
00458,American_eskimo_dog
00459,American_eskimo_dog
00461,American_eskimo_dog
00462,American_eskimo_dog
00463,American_eskimo_dog
00465,American_eskimo_dog
00466,American_eskimo_dog
00468,American_eskimo_dog
00469,American_eskimo_dog
00470,American_eskimo_dog
00472,American_eskimo_dog
00473,American_eskimo_dog
00474,American_foxhound
00475,American_foxhound
00476,American_foxhound
00477,American_foxhound
00478,American_foxhound
00479,American_foxhound
00480,American_foxhound
00482,American_foxhound
00483,American_foxhound
00486,American_foxhound
00488,American_foxhound
00489,American_foxhound
00490,American_foxhound
00491,American_foxhound
00492,American_foxhound
00493,American_foxhound
00494,American_foxhound
00495,American_foxhound
00496,American_foxhound
00497,American_foxhound
00498,American_foxhound
00499,American_foxhound
00500,American_foxhound
00501,American_foxhound
00502,American_foxhound
00503,American_foxhound
00504,American_foxhound
00506,American_foxhound
00507,American_foxhound
00508,American_foxhound
00509,American_foxhound
00510,American_foxhound
00511,American_foxhound
00513,American_foxhound
00514,American_foxhound
00515,American_foxhound
00516,American_foxhound
00517,American_foxhound
00518,American_foxhound
00520,American_foxhound
00521,American_foxhound
00525,American_foxhound
00527,American_foxhound
00528,American_foxhound
00529,American_foxhound
00530,American_foxhound
00532,American_foxhound
00533,American_foxhound
00534,American_foxhound
00536,American_foxhound
00537,American_staffordshire_terrier
00541,American_staffordshire_terrier
00542,American_staffordshire_terrier
00543,American_staffordshire_terrier
00545,American_staffordshire_terrier
00547,American_staffordshire_terrier
00548,American_staffordshire_terrier
00549,American_staffordshire_terrier
00550,American_staffordshire_terrier
00552,American_staffordshire_terrier
00553,American_staffordshire_terrier
00555,American_staffordshire_terrier
00558,American_staffordshire_terrier
00559,American_staffordshire_terrier
00560,American_staffordshire_terrier
00562,American_staffordshire_terrier
00563,American_staffordshire_terrier
00564,American_staffordshire_terrier
00565,American_staffordshire_terrier
00566,American_staffordshire_terrier
00568,American_staffordshire_terrier
00569,American_staffordshire_terrier
00570,American_staffordshire_terrier
00571,American_staffordshire_terrier
00572,American_staffordshire_terrier
00573,American_staffordshire_terrier
00574,American_staffordshire_terrier
00575,American_staffordshire_terrier
00576,American_staffordshire_terrier
00577,American_staffordshire_terrier
00578,American_staffordshire_terrier
00581,American_staffordshire_terrier
00583,American_staffordshire_terrier
00584,American_staffordshire_terrier
00585,American_staffordshire_terrier
00586,American_staffordshire_terrier
00587,American_staffordshire_terrier
00588,American_staffordshire_terrier
00589,American_staffordshire_terrier
00590,American_staffordshire_terrier
00591,American_staffordshire_terrier
00592,American_staffordshire_terrier
00593,American_staffordshire_terrier
00595,American_staffordshire_terrier
00596,American_staffordshire_terrier
00597,American_staffordshire_terrier
00598,American_staffordshire_terrier
00599,American_staffordshire_terrier
00600,American_staffordshire_terrier
00601,American_staffordshire_terrier
00602,American_staffordshire_terrier
00603,American_staffordshire_terrier
00604,American_staffordshire_terrier
00605,American_staffordshire_terrier
00606,American_staffordshire_terrier
00608,American_staffordshire_terrier
00609,American_staffordshire_terrier
00610,American_staffordshire_terrier
00611,American_staffordshire_terrier
00612,American_staffordshire_terrier
00613,American_staffordshire_terrier
00614,American_staffordshire_terrier
00615,American_staffordshire_terrier
00616,American_staffordshire_terrier
00617,American_staffordshire_terrier
00618,American_staffordshire_terrier
00619,American_water_spaniel
00620,American_water_spaniel
00621,American_water_spaniel
00622,American_water_spaniel
00623,American_water_spaniel
00625,American_water_spaniel
00626,American_water_spaniel
00627,American_water_spaniel
00628,American_water_spaniel
00629,American_water_spaniel
00630,American_water_spaniel
00632,American_water_spaniel
00634,American_water_spaniel
00635,American_water_spaniel
00636,American_water_spaniel
00637,American_water_spaniel
00638,American_water_spaniel
00639,American_water_spaniel
00640,American_water_spaniel
00641,American_water_spaniel
00643,American_water_spaniel
00644,American_water_spaniel
00645,American_water_spaniel
00647,American_water_spaniel
00649,American_water_spaniel
00650,American_water_spaniel
00651,American_water_spaniel
00652,American_water_spaniel
00653,American_water_spaniel
00656,American_water_spaniel
00657,American_water_spaniel
00658,American_water_spaniel
00659,American_water_spaniel
00660,American_water_spaniel
00662,Anatolian_shepherd_dog
00663,Anatolian_shepherd_dog
00664,Anatolian_shepherd_dog
00665,Anatolian_shepherd_dog
00666,Anatolian_shepherd_dog
00667,Anatolian_shepherd_dog
00668,Anatolian_shepherd_dog
00670,Anatolian_shepherd_dog
00672,Anatolian_shepherd_dog
00675,Anatolian_shepherd_dog
00676,Anatolian_shepherd_dog
00677,Anatolian_shepherd_dog
00678,Anatolian_shepherd_dog
00679,Anatolian_shepherd_dog
00680,Anatolian_shepherd_dog
00681,Anatolian_shepherd_dog
00683,Anatolian_shepherd_dog
00684,Anatolian_shepherd_dog
00685,Anatolian_shepherd_dog
00686,Anatolian_shepherd_dog
00687,Anatolian_shepherd_dog
00689,Anatolian_shepherd_dog
00691,Anatolian_shepherd_dog
00692,Anatolian_shepherd_dog
00693,Anatolian_shepherd_dog
00694,Anatolian_shepherd_dog
00696,Anatolian_shepherd_dog
00698,Anatolian_shepherd_dog
00699,Anatolian_shepherd_dog
00700,Anatolian_shepherd_dog
00701,Anatolian_shepherd_dog
00702,Anatolian_shepherd_dog
00703,Anatolian_shepherd_dog
00704,Anatolian_shepherd_dog
00705,Anatolian_shepherd_dog
00706,Anatolian_shepherd_dog
00707,Anatolian_shepherd_dog
00708,Anatolian_shepherd_dog
00709,Anatolian_shepherd_dog
00711,Anatolian_shepherd_dog
00712,Anatolian_shepherd_dog
00713,Anatolian_shepherd_dog
00714,Anatolian_shepherd_dog
00715,Anatolian_shepherd_dog
00716,Anatolian_shepherd_dog
00717,Anatolian_shepherd_dog
00718,Anatolian_shepherd_dog
00720,Anatolian_shepherd_dog
00721,Anatolian_shepherd_dog
00722,Anatolian_shepherd_dog
00723,Australian_cattle_dog
00724,Australian_cattle_dog
00725,Australian_cattle_dog
00726,Australian_cattle_dog
00729,Australian_cattle_dog
00731,Australian_cattle_dog
00732,Australian_cattle_dog
00736,Australian_cattle_dog
00737,Australian_cattle_dog
00738,Australian_cattle_dog
00739,Australian_cattle_dog
00740,Australian_cattle_dog
00741,Australian_cattle_dog
00742,Australian_cattle_dog
00743,Australian_cattle_dog
00744,Australian_cattle_dog
00745,Australian_cattle_dog
00746,Australian_cattle_dog
00747,Australian_cattle_dog
00748,Australian_cattle_dog
00749,Australian_cattle_dog
00750,Australian_cattle_dog
00751,Australian_cattle_dog
00752,Australian_cattle_dog
00753,Australian_cattle_dog
00754,Australian_cattle_dog
00755,Australian_cattle_dog
00756,Australian_cattle_dog
00757,Australian_cattle_dog
00758,Australian_cattle_dog
00759,Australian_cattle_dog
00760,Australian_cattle_dog
00762,Australian_cattle_dog
00764,Australian_cattle_dog
00765,Australian_cattle_dog
00766,Australian_cattle_dog
00768,Australian_cattle_dog
00769,Australian_cattle_dog
00770,Australian_cattle_dog
00771,Australian_cattle_dog
00772,Australian_cattle_dog
00773,Australian_cattle_dog
00774,Australian_cattle_dog
00775,Australian_cattle_dog
00776,Australian_cattle_dog
00777,Australian_cattle_dog
00778,Australian_cattle_dog
00779,Australian_cattle_dog
00780,Australian_cattle_dog
00782,Australian_cattle_dog
00783,Australian_cattle_dog
00784,Australian_cattle_dog
00785,Australian_cattle_dog
00789,Australian_cattle_dog
00790,Australian_cattle_dog
00791,Australian_cattle_dog
00793,Australian_cattle_dog
00794,Australian_cattle_dog
00795,Australian_cattle_dog
00796,Australian_cattle_dog
00797,Australian_cattle_dog
00800,Australian_cattle_dog
00801,Australian_cattle_dog
00802,Australian_cattle_dog
00804,Australian_cattle_dog
00805,Australian_cattle_dog
00806,Australian_shepherd
00807,Australian_shepherd
00809,Australian_shepherd
00810,Australian_shepherd
00811,Australian_shepherd
00812,Australian_shepherd
00813,Australian_shepherd
00814,Australian_shepherd
00815,Australian_shepherd
00816,Australian_shepherd
00817,Australian_shepherd
00818,Australian_shepherd
00819,Australian_shepherd
00821,Australian_shepherd
00823,Australian_shepherd
00824,Australian_shepherd
00825,Australian_shepherd
00826,Australian_shepherd
00828,Australian_shepherd
00829,Australian_shepherd
00831,Australian_shepherd
00832,Australian_shepherd
00833,Australian_shepherd
00834,Australian_shepherd
00835,Australian_shepherd
00837,Australian_shepherd
00838,Australian_shepherd
00839,Australian_shepherd
00840,Australian_shepherd
00841,Australian_shepherd
00842,Australian_shepherd
00844,Australian_shepherd
00845,Australian_shepherd
00846,Australian_shepherd
00849,Australian_shepherd
00850,Australian_shepherd
00851,Australian_shepherd
00852,Australian_shepherd
00854,Australian_shepherd
00855,Australian_shepherd
00856,Australian_shepherd
00857,Australian_shepherd
00858,Australian_shepherd
00859,Australian_shepherd
00860,Australian_shepherd
00861,Australian_shepherd
00862,Australian_shepherd
00863,Australian_shepherd
00865,Australian_shepherd
00866,Australian_shepherd
00869,Australian_shepherd
00871,Australian_shepherd
00872,Australian_shepherd
00874,Australian_shepherd
00875,Australian_shepherd
00876,Australian_shepherd
00877,Australian_shepherd
00878,Australian_shepherd
00880,Australian_shepherd
00881,Australian_shepherd
00882,Australian_shepherd
00883,Australian_shepherd
00884,Australian_shepherd
00885,Australian_shepherd
00886,Australian_shepherd
00888,Australian_shepherd
00889,Australian_terrier
00890,Australian_terrier
00891,Australian_terrier
00892,Australian_terrier
00894,Australian_terrier
00895,Australian_terrier
00898,Australian_terrier
00899,Australian_terrier
00901,Australian_terrier
00902,Australian_terrier
00903,Australian_terrier
00904,Australian_terrier
00905,Australian_terrier
00906,Australian_terrier
00907,Australian_terrier
00908,Australian_terrier
00909,Australian_terrier
00910,Australian_terrier
00911,Australian_terrier
00912,Australian_terrier
00915,Australian_terrier
00916,Australian_terrier
00917,Australian_terrier
00919,Australian_terrier
00920,Australian_terrier
00921,Australian_terrier
00922,Australian_terrier
00924,Australian_terrier
00926,Australian_terrier
00928,Australian_terrier
00931,Australian_terrier
00932,Australian_terrier
00933,Australian_terrier
00934,Australian_terrier
00935,Australian_terrier
00936,Australian_terrier
00937,Australian_terrier
00938,Australian_terrier
00939,Australian_terrier
00940,Australian_terrier
00941,Australian_terrier
00942,Australian_terrier
00943,Australian_terrier
00944,Australian_terrier
00945,Australian_terrier
00946,Australian_terrier
00947,Basenji
00948,Basenji
00949,Basenji
00952,Basenji
00953,Basenji
00954,Basenji
00956,Basenji
00957,Basenji
00958,Basenji
00962,Basenji
00963,Basenji
00965,Basenji
00966,Basenji
00968,Basenji
00969,Basenji
00970,Basenji
00971,Basenji
00972,Basenji
00973,Basenji
00975,Basenji
00976,Basenji
00977,Basenji
00979,Basenji
00980,Basenji
00982,Basenji
00983,Basenji
00984,Basenji
00986,Basenji
00988,Basenji
00989,Basenji
00990,Basenji
00991,Basenji
00992,Basenji
00993,Basenji
00994,Basenji
00995,Basenji
00996,Basenji
00999,Basenji
01000,Basenji
01001,Basenji
01002,Basenji
01003,Basenji
01004,Basenji
01005,Basenji
01006,Basenji
01007,Basenji
01008,Basenji
01010,Basenji
01011,Basenji
01012,Basenji
01013,Basenji
01014,Basenji
01015,Basenji
01016,Basenji
01017,Basenji
01018,Basenji
01019,Basenji
01020,Basenji
01021,Basenji
01022,Basenji
01023,Basenji
01024,Basenji
01025,Basenji
01026,Basenji
01027,Basenji
01028,Basenji
01030,Basenji
01031,Basenji
01032,Basenji
01033,Basset_hound
01035,Basset_hound
01036,Basset_hound
01037,Basset_hound
01038,Basset_hound
01039,Basset_hound
01040,Basset_hound
01041,Basset_hound
01042,Basset_hound
01043,Basset_hound
01045,Basset_hound
01046,Basset_hound
01047,Basset_hound
01048,Basset_hound
01049,Basset_hound
01050,Basset_hound
01051,Basset_hound
01052,Basset_hound
01054,Basset_hound
01055,Basset_hound
01056,Basset_hound
01057,Basset_hound
01058,Basset_hound
01060,Basset_hound
01061,Basset_hound
01062,Basset_hound
01064,Basset_hound
01065,Basset_hound
01066,Basset_hound
01068,Basset_hound
01069,Basset_hound
01070,Basset_hound
01072,Basset_hound
01074,Basset_hound
01075,Basset_hound
01077,Basset_hound
01078,Basset_hound
01079,Basset_hound
01081,Basset_hound
01082,Basset_hound
01083,Basset_hound
01084,Basset_hound
01086,Basset_hound
01087,Basset_hound
01088,Basset_hound
01089,Basset_hound
01090,Basset_hound
01091,Basset_hound
01092,Basset_hound
01094,Basset_hound
01095,Basset_hound
01098,Basset_hound
01099,Basset_hound
01100,Basset_hound
01101,Basset_hound
01102,Basset_hound
01103,Basset_hound
01104,Basset_hound
01105,Basset_hound
01107,Basset_hound
01108,Basset_hound
01110,Basset_hound
01111,Basset_hound
01112,Basset_hound
01113,Basset_hound
01114,Basset_hound
01115,Basset_hound
01116,Basset_hound
01118,Basset_hound
01119,Basset_hound
01120,Basset_hound
01122,Basset_hound
01123,Basset_hound
01125,Beagle
01127,Beagle
01128,Beagle
01129,Beagle
01131,Beagle
01132,Beagle
01133,Beagle
01134,Beagle
01135,Beagle
01136,Beagle
01138,Beagle
01139,Beagle
01140,Beagle
01142,Beagle
01143,Beagle
01145,Beagle
01146,Beagle
01147,Beagle
01148,Beagle
01149,Beagle
01151,Beagle
01152,Beagle
01153,Beagle
01154,Beagle
01158,Beagle
01159,Beagle
01160,Beagle
01161,Beagle
01162,Beagle
01163,Beagle
01164,Beagle
01165,Beagle
01166,Beagle
01167,Beagle
01168,Beagle
01169,Beagle
01170,Beagle
01171,Beagle
01172,Beagle
01173,Beagle
01174,Beagle
01175,Beagle
01177,Beagle
01178,Beagle
01179,Beagle
01180,Beagle
01181,Beagle
01182,Beagle
01185,Beagle
01186,Beagle
01188,Beagle
01189,Beagle
01190,Beagle
01191,Beagle
01192,Beagle
01193,Beagle
01194,Beagle
01195,Beagle
01198,Beagle
01199,Bearded_collie
01200,Bearded_collie
01201,Bearded_collie
01202,Bearded_collie
01203,Bearded_collie
01204,Bearded_collie
01206,Bearded_collie
01207,Bearded_collie
01208,Bearded_collie
01209,Bearded_collie
01210,Bearded_collie
01211,Bearded_collie
01212,Bearded_collie
01213,Bearded_collie
01214,Bearded_collie
01216,Bearded_collie
01217,Bearded_collie
01218,Bearded_collie
01219,Bearded_collie
01220,Bearded_collie
01224,Bearded_collie
01226,Bearded_collie
01228,Bearded_collie
01229,Bearded_collie
01230,Bearded_collie
01232,Bearded_collie
01234,Bearded_collie
01235,Bearded_collie
01236,Bearded_collie
01237,Bearded_collie
01238,Bearded_collie
01239,Bearded_collie
01240,Bearded_collie
01241,Bearded_collie
01242,Bearded_collie
01243,Bearded_collie
01244,Bearded_collie
01245,Bearded_collie
01246,Bearded_collie
01247,Bearded_collie
01249,Bearded_collie
01250,Bearded_collie
01251,Bearded_collie
01252,Bearded_collie
01254,Bearded_collie
01255,Bearded_collie
01256,Bearded_collie
01258,Bearded_collie
01259,Bearded_collie
01260,Bearded_collie
01261,Bearded_collie
01262,Bearded_collie
01263,Bearded_collie
01264,Bearded_collie
01265,Bearded_collie
01266,Bearded_collie
01269,Bearded_collie
01270,Bearded_collie
01271,Bearded_collie
01272,Bearded_collie
01273,Bearded_collie
01275,Bearded_collie
01276,Beauceron
01277,Beauceron
01278,Beauceron
01279,Beauceron
01280,Beauceron
01281,Beauceron
01282,Beauceron
01283,Beauceron
01285,Beauceron
01286,Beauceron
01287,Beauceron
01289,Beauceron
01290,Beauceron
01291,Beauceron
01294,Beauceron
01295,Beauceron
01296,Beauceron
01297,Beauceron
01298,Beauceron
01300,Beauceron
01301,Beauceron
01304,Beauceron
01305,Beauceron
01306,Beauceron
01307,Beauceron
01308,Beauceron
01309,Beauceron
01311,Beauceron
01312,Beauceron
01313,Beauceron
01314,Beauceron
01315,Beauceron
01316,Beauceron
01317,Beauceron
01320,Beauceron
01321,Beauceron
01322,Beauceron
01323,Beauceron
01324,Beauceron
01325,Beauceron
01327,Beauceron
01329,Beauceron
01330,Beauceron
01332,Beauceron
01333,Beauceron
01334,Beauceron
01335,Beauceron
01336,Beauceron
01337,Beauceron
01338,Beauceron
01339,Bedlington_terrier
01341,Bedlington_terrier
01342,Bedlington_terrier
01343,Bedlington_terrier
01344,Bedlington_terrier
01345,Bedlington_terrier
01346,Bedlington_terrier
01349,Bedlington_terrier
01350,Bedlington_terrier
01351,Bedlington_terrier
01352,Bedlington_terrier
01353,Bedlington_terrier
01354,Bedlington_terrier
01355,Bedlington_terrier
01356,Bedlington_terrier
01358,Bedlington_terrier
01359,Bedlington_terrier
01360,Bedlington_terrier
01361,Bedlington_terrier
01362,Bedlington_terrier
01364,Bedlington_terrier
01365,Bedlington_terrier
01366,Bedlington_terrier
01371,Bedlington_terrier
01372,Bedlington_terrier
01373,Bedlington_terrier
01374,Bedlington_terrier
01375,Bedlington_terrier
01376,Bedlington_terrier
01377,Bedlington_terrier
01378,Bedlington_terrier
01379,Bedlington_terrier
01380,Bedlington_terrier
01382,Bedlington_terrier
01383,Bedlington_terrier
01384,Bedlington_terrier
01385,Bedlington_terrier
01386,Bedlington_terrier
01387,Bedlington_terrier
01388,Bedlington_terrier
01389,Bedlington_terrier
01390,Bedlington_terrier
01391,Bedlington_terrier
01393,Bedlington_terrier
01394,Bedlington_terrier
01395,Bedlington_terrier
01397,Bedlington_terrier
01398,Bedlington_terrier
01399,Belgian_malinois
01400,Belgian_malinois
01401,Belgian_malinois
01402,Belgian_malinois
01403,Belgian_malinois
01404,Belgian_malinois
01405,Belgian_malinois
01406,Belgian_malinois
01408,Belgian_malinois
01411,Belgian_malinois
01412,Belgian_malinois
01413,Belgian_malinois
01414,Belgian_malinois
01415,Belgian_malinois
01416,Belgian_malinois
01417,Belgian_malinois
01418,Belgian_malinois
01419,Belgian_malinois
01420,Belgian_malinois
01421,Belgian_malinois
01422,Belgian_malinois
01423,Belgian_malinois
01424,Belgian_malinois
01425,Belgian_malinois
01426,Belgian_malinois
01427,Belgian_malinois
01429,Belgian_malinois
01430,Belgian_malinois
01431,Belgian_malinois
01432,Belgian_malinois
01433,Belgian_malinois
01434,Belgian_malinois
01435,Belgian_malinois
01437,Belgian_malinois
01438,Belgian_malinois
01439,Belgian_malinois
01440,Belgian_malinois
01442,Belgian_malinois
01444,Belgian_malinois
01446,Belgian_malinois
01447,Belgian_malinois
01449,Belgian_malinois
01450,Belgian_malinois
01451,Belgian_malinois
01453,Belgian_malinois
01454,Belgian_malinois
01455,Belgian_malinois
01456,Belgian_malinois
01457,Belgian_malinois
01458,Belgian_malinois
01461,Belgian_malinois
01462,Belgian_malinois
01463,Belgian_malinois
01464,Belgian_malinois
01465,Belgian_malinois
01466,Belgian_malinois
01467,Belgian_malinois
01468,Belgian_malinois
01470,Belgian_malinois
01473,Belgian_malinois
01474,Belgian_malinois
01476,Belgian_malinois
01477,Belgian_sheepdog
01478,Belgian_sheepdog
01479,Belgian_sheepdog
01480,Belgian_sheepdog
01481,Belgian_sheepdog
01483,Belgian_sheepdog
01484,Belgian_sheepdog
01487,Belgian_sheepdog
01492,Belgian_sheepdog
01493,Belgian_sheepdog
01494,Belgian_sheepdog
01495,Belgian_sheepdog
01496,Belgian_sheepdog
01497,Belgian_sheepdog
01498,Belgian_sheepdog
01499,Belgian_sheepdog
01500,Belgian_sheepdog
01501,Belgian_sheepdog
01502,Belgian_sheepdog
01503,Belgian_sheepdog
01504,Belgian_sheepdog
01505,Belgian_sheepdog
01506,Belgian_sheepdog
01507,Belgian_sheepdog
01508,Belgian_sheepdog
01509,Belgian_sheepdog
01511,Belgian_sheepdog
01512,Belgian_sheepdog
01513,Belgian_sheepdog
01514,Belgian_sheepdog
01515,Belgian_sheepdog
01516,Belgian_sheepdog
01517,Belgian_sheepdog
01518,Belgian_sheepdog
01519,Belgian_sheepdog
01520,Belgian_sheepdog
01523,Belgian_sheepdog
